,Pool,Pool,Job,Job,Designs,Designs,Workflow,Workflow,RFdiffusion,RFdiffusion,RFdiffusion,RFdiffusion,RFdiffusion,RFdiffusion,RFdiffusion,RFdiffusion,RFdiffusion,RFdiffusion,RFdiffusion,RFdiffusion,ProteinMPNN,ProteinMPNN,ProteinMPNN,ProteinMPNN,ProteinMPNN,ProteinMPNN,Refolding,Refolding,Thresholds,Thresholds,Thresholds,Thresholds,Thresholds,Thresholds,Thresholds,Thresholds,BindCraft,BindCraft,BindCraft,BindCraft,BindCraft,BindCraft,BindCraft,BindCraft,BindCraft,BindCraft,BindCraft,BindCraft,BindCraft
,name,description,status,created,accepted,total,input,type,contigs,hotspots,model_weights,timesteps,partial_diffusion,num_designs,cyclic_offset,batch_size,contigmap_length,inpaint_seq,backbone_filters,run_parameters,num_sequences,fastrelax_cycles,omit_aa,sampling_temp,bias_aa,run_parameters,primary_test,esmfold_fp16,AF2 iPAE,AF2 Target-aligned Binder RMSD,AF2 Binder pLDDT,Rosetta ddG,AF2 Design RMSD,AF2 Native Motif RMSD,AF2 PAE,AF2 pLDDT,target_chains,binder_length,hotspots,number_of_final_designs,time_limit_hours,filter_type,design_protocol,interface_protocol,template_protocol,prediction_protocol,custom_advanced_settings,custom_filter_settings,num_replicas
"('Pool', 'id')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbc,4ZXB 1000 designs default weights ligandmpnn,"Insulin receptor miniprotein binders hotspot E64,E88,E96, without fastrelax",Done,4 months ago,3,3,,RFdiffusion binder design,['E6-155/0 50-100'],"E64,E88,E96",,50.0,False,1000.0,False,100.0,,,,,4.0,0.0,CX,0.0001,,,af2_model_1_multimer_tt_3rec,False,≤ 10.000,≤ 1.000,≥ 80.000,≤ -30.000,,,,,,,,,,,,,,,,,
qki,Top designs diversification,"Top 2 from each pool by PAE, RMSD and ddG",Done,4 months ago,37,37,,RFdiffusion binder design,"['62-62/0 B6-155', '71-71/0 B6-155', '70-70/0 B6-155']","B64,B88,B96",Complex_beta,20.0,True,50.0,False,100.0,,,,,1.0,2.0,CX,0.0001,,,af2_model_1_multimer_tt_3rec,False,≤ 10.000,≤ 2.000,≥ 80.000,≤ -30.000,,,,,,,,,,,,,,,,,
jov,1A41 6*100*8 designs default weights,length 150 with 10-100 residues spacing the active site residues,Done,4 months ago,0,0,,RFdiffusion scaffold design,"['10-100/A56-56/10-100/A100-100/10-100/A125-125/10-100', '10-100/A56-56/10-100/A125-125/10-100/A100-100/10-100', '10-100/A100-100/10-100/A56-56/10-100/A125-125/10-100', '10-100/A100-100/10-100/A125-125/10-100/A56-56/10-100', '10-100/A125-125/10-100/A56-56/10-100/A100-100/10-100', '10-100/A125-125/10-100/A100-100/10-100/A56-56/10-100']",,,50.0,False,100.0,False,50.0,150.0,,,,2.0,0.0,CX,0.1,,,af2_model_1_ptm_ft_3rec,False,,,,,≤ 2.000,≤ 1.500,≤ 5.000,≥ 80.000,,,,,,,,,,,,,
zuk,5IUS 500*5 designs PD1 interface,"PD1 interface, no sequence redesign",Done,4 months ago,1,1,,RFdiffusion scaffold design,['0-30/A119-140/15-40/A63-82/0-30/0 C18-27/C53-68/C111-127'],,,50.0,False,1000.0,False,100.0,,,,,5.0,0.0,CX,0.1,,,af2_model_1_ptm_ft_3rec,False,,,,,≤ 2.000,≤ 2.000,≤ 5.000,≥ 80.000,,,,,,,,,,,,,
mmo,4ZXB 1000 designs beta sheet,"Insulin receptor miniprotein binders hotspot E64,E88,E96",Done,4 months ago,1,1,,RFdiffusion binder design,['E6-155/0 50-100'],"E64,E88,E96",Complex_beta,50.0,False,1000.0,False,100.0,,,,,1.0,3.0,CX,0.0001,,,af2_model_1_multimer_tt_3rec,False,≤ 10.000,≤ 2.000,≥ 80.000,≤ -20.000,,,,,,,,,,,,,,,,,
avz,4ZXB 1000 designs default weights,"Insulin receptor miniprotein binders hotspot E64,E88,E96",Done,4 months ago,5,5,,RFdiffusion binder design,['E6-155/0 50-100'],"E64,E88,E96",,50.0,False,1000.0,False,100.0,,,,,1.0,3.0,CX,0.0001,,,af2_model_1_multimer_tt_3rec,False,≤ 10.000,≤ 2.000,≥ 80.000,≤ -20.000,,,,,,,,,,,,,,,,,
xeh,5IUS 500*5 designs PD1 interface with inpaint,"PD1 interface, inpaint seq",Done,4 months ago,275,275,,RFdiffusion scaffold design,['0-30/A119-140/15-40/A63-82/0-30/0 C18-27/C53-68/C111-127'],,,50.0,False,1000.0,False,100.0,,,,contigmap.inpaint_seq=[A63/A65/A67/A69/A71-72/A76/A79-80/A82/A119-123/A125/A127/A129-130/A133/A135/A137-138/A140],5.0,0.0,CX,0.1,,,af2_model_1_ptm_ft_3rec,False,,,,,≤ 2.000,≤ 2.000,≤ 5.000,≥ 80.000,,,,,,,,,,,,,
ogc,1A41 6*100*8 designs active site weights,length 150 with 10-100 residues spacing the active site residues,Done,4 months ago,26,26,,RFdiffusion scaffold design,"['10-100/A56-56/10-100/A100-100/10-100/A125-125/10-100', '10-100/A56-56/10-100/A125-125/10-100/A100-100/10-100', '10-100/A100-100/10-100/A56-56/10-100/A125-125/10-100', '10-100/A100-100/10-100/A125-125/10-100/A56-56/10-100', '10-100/A125-125/10-100/A56-56/10-100/A100-100/10-100', '10-100/A125-125/10-100/A100-100/10-100/A56-56/10-100']",,ActiveSite,50.0,False,100.0,False,50.0,150.0,,,,8.0,0.0,CX,0.1,,,af2_model_1_ptm_ft_3rec,False,,,,,≤ 2.000,≤ 1.500,≤ 5.000,≥ 80.000,,,,,,,,,,,,,
rsj,4ZXB BindCraft default,"Insulin receptor miniprotein binders hotspot E64,E88,E96",Done,4 months ago,13,13,,BindCraft binder design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,"50,100","E64,E88,E96",20.0,6.0,Default,Default,AlphaFold2,Default,Default,{},{},1.0
